,node_id,name,citation_pmid,prop_id,citation_type,citation_source,citation_authors,citation_pubdate,citation_comment,citation_url,citation_desc
0,30412,,19805057,,CT2,PubMed API,"Bannard C, Lieven E, Tomasello M",2009 Oct 13,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=19805057&retmode=ref&cmd=prlinks,Modeling children&#39;s early grammatical knowledge.
1,30413,,19012655,,CT2,PubMed API,"Congdon E, Canli T",2008 Dec,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=19012655&retmode=ref&cmd=prlinks,A neurogenetic approach to impulsivity.
2,30414,,9220256,,CT2,PubMed API,"Dehaene S, Cohen L",1997 Jun,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=9220256&retmode=ref&cmd=prlinks,Cerebral pathways for calculation: double dissociation between rote verbal and quantitative knowledge of arithmetic.
3,30415,,7546667,,CT2,PubMed API,"Peters M, Laeng B, Latham K, Jackson M, Zaiyouna R, Richardson C",1995 Jun,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=7546667&retmode=ref&cmd=prlinks,A redrawn Vandenberg and Kuse mental rotations test: different versions and factors that affect performance.
4,30416,,1736359,,CT2,PubMed API,Baddeley A,1992 Jan 31,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=1736359&retmode=ref&cmd=prlinks,Working memory.
5,30417,,7418368,,CT2,PubMed API,Logan GD,1980 Oct,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=7418368&retmode=ref&cmd=prlinks,Attention and automaticity in Stroop and priming tasks: theory and data.
6,30418,,6232345,,CT2,PubMed API,"Logan GD, Cowan WB, Davis KA",1984 Apr,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=6232345&retmode=ref&cmd=prlinks,On the ability to inhibit simple and choice reaction time responses: a model and a method.
7,30419,,18799345,,CT2,PubMed API,"Verbruggen F, Logan GD",2008 Nov,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=18799345&retmode=ref&cmd=prlinks,Response inhibition in the stop-signal paradigm.
8,30420,,15846822,,CT2,PubMed API,"Owen AM, McMillan KM, Laird AR, Bullmore E",2005 May,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=15846822&retmode=ref&cmd=prlinks,N-back working memory paradigm: a meta-analysis of normative functional neuroimaging studies.
9,30421,,17519365,,CT2,PubMed API,Aron AR,2007 Jun,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=17519365&retmode=ref&cmd=prlinks,The neural basis of inhibition in cognitive control.
10,30422,,9745242,,CT2,PubMed API,Baddeley A,1998 Sep,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=9745242&retmode=ref&cmd=prlinks,The central executive: a concept and some misconceptions.
11,30423,,11283309,,CT2,PubMed API,"Miller EK, Cohen JD",2001,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=11283309&retmode=ref&cmd=prlinks,An integrative theory of prefrontal cortex function.
12,30424,,20017038,,CT2,PubMed API,"Coltheart M, Menzies P, Sutton J",2009 Dec 15,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=20017038&retmode=ref&cmd=prlinks,Abductive inference and delusional belief.
13,30425,,14589726,,CT2,PubMed API,"Riccio CA, Reynolds CR, Lowe P, Moore JJ",2002 Apr,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=14589726&retmode=ref&cmd=prlinks,The continuous performance test: a window on the neural substrates for attention?
14,30426,,12457897,,CT2,PubMed API,"McClelland JL, Patterson K",2002 Nov 1,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=12457897&retmode=ref&cmd=prlinks,Rules or connections in past-tense inflections: what does the evidence rule out?
15,30427,,10385578,,CT2,PubMed API,"Poldrack RA, Wagner AD, Prull MW, Desmond JE, Glover GH, Gabrieli JD",1999 Jul,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=10385578&retmode=ref&cmd=prlinks,Functional specialization for semantic and phonological processing in the left inferior prefrontal cortex.
16,30428,,1486459,,CT2,PubMed API,"Démonet JF, Chollet F, Ramsay S, Cardebat D, Nespoulous JL, Wise R, Rascol A, Frackowiak R",1992 Dec,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=1486459&retmode=ref&cmd=prlinks,The anatomy of phonological and semantic processing in normal subjects.
17,30429,,8670639,,CT2,PubMed API,"Price CJ, Wise RJ, Frackowiak RS",1996 Jan-Feb,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=8670639&retmode=ref&cmd=prlinks,Demonstrating the implicit processing of visually presented words and pseudowords.
18,30430,,11117622,,CT2,PubMed API,Price CJ,2000 Oct,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=11117622&retmode=ref&cmd=prlinks,The anatomy of language: contributions from functional neuroimaging.
19,30431,,15709935,,CT2,PubMed API,"Fox NA, Henderson HA, Marshall PJ, Nichols KE, Ghera MM",2005,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=15709935&retmode=ref&cmd=prlinks,Behavioral inhibition: linking biology and behavior within a developmental framework.
20,30432,,18088583,,CT2,PubMed API,"Price GR, Holloway I, RÃ¤sÃ¤nen P, Vesterinen M, Ansari D",2007 Dec 18,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=18088583&retmode=ref&cmd=prlinks,Impaired parietal magnitude processing in developmental dyscalculia.
21,30433,,1511583,,CT2,PubMed API,Dehaene S,1992 Aug,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=1511583&retmode=ref&cmd=prlinks,Varieties of numerical abilities.
22,30434,,20100898,,CT2,PubMed API,"Okada K, Rong F, Venezia J, Matchin W, Hsieh IH, Saberi K, Serences JT, Hickok G",2010 Feb 25,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=20100898&retmode=ref&cmd=prlinks,Hierarchical Organization of Human Auditory Cortex: Evidence from Acoustic Invariance in the Response to Intelligible Speech.
23,30435,,17933023,,CT2,PubMed API,"Kronbichler M, Bergmann J, Hutzler F, Staffen W, Mair A, Ladurner G, Wimmer H",2007 Oct,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=17933023&retmode=ref&cmd=prlinks,Taxi vs. taksi: on orthographic word recognition in the left ventral occipitotemporal cortex.
24,30436,,16494687,,CT2,PubMed API,"Desai R, Conant LL, Waldron E, Binder JR",2006 Feb,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=16494687&retmode=ref&cmd=prlinks,FMRI of past tense processing: the effects of phonological complexity and task difficulty.
25,30437,,16102238,,CT2,PubMed API,"Longworth CE, Marslen-Wilson WD, Randall B, Tyler LK",2005 Jul,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=16102238&retmode=ref&cmd=prlinks,Getting to the meaning of the regular past tense: evidence from neuropsychology.
26,30438,,19800410,,CT2,PubMed API,"Carreiras M, Carr L, Barber HA, Hernandez A",2010 Jan 15,Via PubMed API,http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=19800410&retmode=ref&cmd=prlinks,Where syntax meets math: right intraparietal sulcus activation in response to grammatical number agreement violations.
